"Levels of Key Employment Indicators: April 2005 to June 2026"
"Year","Month","Total Population 15 Years Old and Over Both sexes","Total Population 15 Years Old and Over Male","Total Population 15 Years Old and Over Female","Persons in the Labor Force Both sexes","Persons in the Labor Force Male","Persons in the Labor Force Female","Employed Persons Both sexes","Employed Persons Male","Employed Persons Female","Unemployed Persons Both sexes","Unemployed Persons Male","Unemployed Persons Female","Underemployed Persons Both sexes","Underemployed Persons Male","Underemployed Persons Female"
"2014","November",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","December",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Annual",64033.078,31905.167,32127.912,41379.341,25093.213,16286.128,38651.256,23365.388,15285.868,2728.085,1727.825,1000.260,7118.295,4865.592,2252.703
"2015","January",64591.228,32210.876,32380.352,41164.499,25073.440,16091.059,38461.491,23289.760,15171.731,2703.008,1783.680,919.327,6882.589,4743.260,2139.329
"2015","February",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2015","March",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2015","April",64801.917,32318.050,32483.867,41839.711,25260.139,16579.573,39158.372,23567.762,15590.610,2681.339,1692.376,988.963,6982.991,4773.651,2209.340
"2015","May",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2015","June",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2015","July",66613.308,33298.897,33314.411,41900.675,25362.113,16538.562,39177.317,23671.077,15506.240,2723.358,1691.036,1032.322,8220.360,5566.225,2654.135
"2015","August",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2015","September",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2015","October",66622.447,33284.255,33338.192,42145.637,25609.213,16536.424,39775.040,24105.573,15669.467,2370.597,1503.640,866.957,7020.271,4768.226,2252.045
"2015","November",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2015","December",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2015","Annual",64936.248,32416.909,32519.339,41342.355,25062.219,16280.137,38740.835,23405.841,15334.994,2601.521,1656.378,945.143,7180.156,4897.437,2282.719
